,time,distance,heuristic,cityDep_id,cityArr_id
0,8778,219714,203383.07458159703,1000,1
1,26528,774390,662809.8301237496,10000,1
2,19886,572339,484207.6531774864,100000,1
3,32947,1015585,834880.1495093731,1000,2
4,1170,5229,2471.3544696056697,10000,2
5,10838,310097,211140.9016638367,100000,2
6,22915,702690,559067.6362196484,1000,3
7,11118,313500,276256.39396953693,10000,3
8,4831,104784,93213.15917030464,100000,3
9,30356,893432,792345.6533608058,1000,4
10,14136,404713,319910.44065169635,10000,4
11,17751,532503,384245.76934153674,100000,4
12,37766,1168483,833483.7377705812,1000,5
13,7622,197238,158326.98245984578,10000,5
14,15657,462995,204602.03334735095,100000,5
15,20714,599883,508373.70142066624,1000,6
16,32193,985622,695606.370185396,10000,6
17,26798,797959,604440.8615574515,100000,6
18,18175,549567,407163.25209927064,1000,7
19,27346,803968,616644.5467615615,10000,7
20,19681,531265,408656.86102840543,100000,7
21,32236,963904,785036.8964493532,1000,8
22,6519,167076,124812.91129314377,10000,8
23,10134,294866,229201.0221625628,100000,8
24,27132,800397,700230.7943438378,1000,9
25,21676,643741,504606.8144028054,10000,9
26,22736,663731,496766.97052590386,100000,9
27,19057,564308,446182.89057224285,1000,10
28,34151,1046388,764126.7139873344,10000,10
29,27930,850044,651665.6204705072,100000,10
30,10942,314145,244702.92032171178,1000,11
31,32044,963528,798634.8092110781,10000,11
32,25402,761477,639256.5081950808,100000,11
33,7154,206485,168441.3324392816,1000,12
34,25903,795860,670678.67228205,10000,12
35,19261,593809,470566.76903812244,100000,12
36,297,1217,421.4113643653723,1000,13
37,32478,999892,835189.2077660419,10000,13
38,25836,797841,638367.5240697772,100000,13
39,24822,760470,586922.1516965765,1000,14
40,11660,331236,250111.38415874948,10000,14
41,6044,153784,107623.18297782517,100000,14
42,35099,1078366,864163.5664533776,1000,15
43,3399,68583,49889.24365048601,10000,15
44,12990,372878,230515.5859207912,100000,15
45,17601,511979,440141.50060016563,1000,16
46,29906,906399,655214.0478759196,10000,16
47,23685,710055,545252.4786175387,100000,16
48,26155,756613,599395.7927292592,1000,17
49,42552,1283542,950890.2680367457,10000,17
50,36457,1090552,855803.3226810554,100000,17
51,25636,803754,639377.4577952934,1000,18
52,10627,308301,210050.16273148794,10000,18
53,347,2346,1920.94687081997,100000,18
54,16810,510452,395316.0661047505,1000,19
55,17223,501755,448411.6602085147,10000,19
56,10581,299704,243828.96153477035,100000,19
57,15203,424770,359305.72561335354,1000,20
58,29833,891107,660012.5598221244,10000,20
59,23612,694763,526273.7291015001,100000,20
60,21389,637364,539585.9721475613,1000,21
61,16466,473380,330985.4206283164,10000,21
62,10245,277036,216939.18040258784,100000,21
63,5323,139025,98081.15100399767,1000,22
64,31625,918166,771549.7213071567,10000,22
65,24983,716115,584791.0788319681,100000,22
66,20653,605381,548969.2224879876,1000,23
67,23224,691927,432975.4644663192,10000,23
68,17841,524424,357027.2731731852,100000,23
69,32134,996461,809985.2274551321,1000,24
70,2069,32355,26893.24740580308,10000,24
71,10025,290973,185032.20295605352,100000,24
72,30909,956550,762780.4159221984,1000,25
73,5178,123388,101704.70406943394,10000,25
74,8800,251062,185744.47591962837,100000,25
75,16048,455312,401260.57236765506,1000,26
76,26619,798461,584135.9146264024,10000,26
77,20398,602117,458805.6192355149,100000,26
78,33855,985497,811186.8194559205,1000,27
79,12572,337384,255437.6196971724,10000,27
80,16187,465174,345125.1556211209,100000,27
81,12747,390720,277623.1539714656,1000,28
82,25414,766884,652670.4596091739,10000,28
83,18772,564833,441095.93446989794,100000,28
84,22493,697464,557849.4226959693,1000,29
85,11243,318149,277710.2671626661,10000,29
86,4605,107391,92604.76663954555,100000,29
87,18984,583795,434131.097677069,1000,30
88,19234,566631,443190.34793169476,10000,30
89,11761,339828,231393.81253126363,100000,30
90,13258,385346,293371.37787122716,1000,31
91,32991,1002145,789067.6272936914,10000,31
92,26349,800094,639789.541434846,100000,31
93,12578,345714,313828.9584880298,1000,32
94,25198,772751,580866.9375861819,10000,32
95,18556,570700,422417.7175871089,100000,32
96,22222,663756,445948.03815200966,1000,33
